Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
703110,LINA'S FRESH FRUITS,Fruits/Veg Specialty,901,River St Ste 102,,Honolulu,HI,96817,5399,HONOLULU,0.0,0.0,2003-09-30,2004-11-25
530381,LIQUORETTE MARKET,Convenience Store,825,KEEAUMOKU ST #I-110,,HONOLULU,HI,96814,,HONOLULU,0.0,0.0,2002-12-05,2004-09-16
677101,M&M TOMO'S MARKET,Convenience Store,2012,HOUGHTAILING ST,,HONOLULU,HI,96817,,HONOLULU,0.0,0.0,2003-05-28,2004-06-30
661525,MARUKIN MARKET,Medium Grocery Store,1717,LILIHA ST,,HONOLULU,HI,96817,,HONOLULU,0.0,0.0,1990-07-06,2004-11-07
567060,MASA ENTERPRISES INC,Meat/Poultry Specialty,54-295,Kam Hwy,,Hauula,HI,96717,8506,HONOLULU,0.0,0.0,2000-02-02,2004-10-17
580435,MAUNAKEA MEAT,Meat/Poultry Specialty,1120,MAUNAKEA ST #154,,HONOLULU,HI,96817,,HONOLULU,0.0,0.0,1994-10-04,2004-02-22
361510,MCCULLY MARKET,Convenience Store,845,McCully St,,Honolulu,HI,96826,2807,HONOLULU,0.0,0.0,2002-11-01,2004-06-25
411356,MIKE & MEL MEAT MARKET,Meat/Poultry Specialty,1120,Maunakea St Ste 137,,Honolulu,HI,96817,5168,HONOLULU,0.0,0.0,2003-09-18,2004-03-09
334086,MIKKI'S MARKET,Convenience Store,925,Maunakea St Unit C2,,Honolulu,HI,96817,5166,HONOLULU,0.0,0.0,2001-03-01,2004-01-06
553428,NORMA'S FILIPINO MARKET,Small Grocery Store,94-226,LEOKU ST,,WAIPAHU,HI,96797,,HONOLULU,0.0,0.0,1995-12-20,2004-04-21
485247,NORMA'S MEAT & VEG MARKET II,Meat/Poultry Specialty,1120,Maunakea St Ste 138,,Honolulu,HI,96817,5168,HONOLULU,0.0,0.0,1999-08-04,2004-03-17
263146,NORTH KING SHELL STATION,Convenience Store,666,N King St,,Honolulu,HI,96817,4508,HONOLULU,0.0,0.0,2001-07-12,2004-04-25
460594,ORIONS,Convenience Store,1912A,Kalihi St,,Honolulu,HI,96819,4251,HONOLULU,0.0,0.0,1983-03-28,2004-02-17
302349,PAG-ASA MARKET,Small Grocery Store,1825,Dillingham Blvd,,Honolulu,HI,96819,4020,HONOLULU,0.0,0.0,1990-03-12,2004-06-21
359994,RAINBOW MARKET LLC,Convenience Store,1720,PALOLO AVE,,HONOLULU,HI,96816,,HONOLULU,0.0,0.0,2003-02-26,2004-01-08
320534,SAIGON MARKET,Small Grocery Store,901,River St Ste 101,,Honolulu,HI,96817,5399,HONOLULU,0.0,0.0,1994-03-07,2004-01-10
379720,TAI SHING MARKET,Unknown,925,Maunakea St Unit C2,,Honolulu,HI,96817,5166,HONOLULU,0.0,0.0,2004-04-14,2004-04-19
287063,TAMURA'S WHOLESALE OUTLET,Supermarket,1001,California Ave,,Wahiawa,HI,96786,2341,HONOLULU,0.0,0.0,2003-08-28,2004-03-21
304326,THAI FOOD CENTER,Small Grocery Store,78,Wilikina Dr,,Wahiawa,HI,96786,1728,HONOLULU,0.0,0.0,1981-07-02,2004-10-17
265385,THAILAND MARKET,Small Grocery Store,3424,Waialae Ave,,Honolulu,HI,96816,2620,HONOLULU,0.0,0.0,2000-08-14,2004-12-29
615024,THE BEST WHOLESALE FOODS,Medium Grocery Store,1270,N King St,,Honolulu,HI,96817,3352,HONOLULU,0.0,0.0,2000-10-13,2004-03-29
487254,THE BUTCHER SHOP INC,Meat/Poultry Specialty,99-899,Iwaena St Ste 114,,Aiea,HI,96701,5606,HONOLULU,0.0,0.0,2003-02-27,2004-11-17
576305,TIEN-DAT MARKET,Small Grocery Store,181,N King St,,Honolulu,HI,96817,5012,HONOLULU,0.0,0.0,2003-03-25,2004-04-13
229778,TULI'S GROCERY & BAKERY,Convenience Store,94-210,Leokane St Ste 106,,Waipahu,HI,96797,2131,HONOLULU,21.380283,-158.0198,1996-09-11,2004-11-16
468222,UEHARA FISH MARKET,Seafood Specialty,930,KEKAULIKE ST,,HONOLULU,HI,96817,,HONOLULU,0.0,0.0,1994-12-06,2004-08-17
700236,UYESHIRO MARKET,Convenience Store,1408,Middle St,,Honolulu,HI,96819,2501,HONOLULU,0.0,0.0,1971-12-14,2004-05-02
368705,VALLEJO TRIPLE ONE VARIETY STORE,Fruits/Veg Specialty,1039,Kekaulike St Ste 120,,Honolulu,HI,96817,5366,HONOLULU,0.0,0.0,1998-07-28,2004-02-05
613289,VIM & VIGOR FOODS INC,Convenience Store,1450,Ala Moana Blvd Ste 1014,,Honolulu,HI,96814,4602,HONOLULU,0.0,0.0,1978-05-01,2004-02-08
529509,"VM SEAFOOD, LLC",Seafood Specialty,1120,Maunakea St Ste 142,,Honolulu,HI,96817,5169,HONOLULU,0.0,0.0,2001-09-13,2004-11-25
541599,WAHIAWA MARKET,Convenience Store,302,California Ave Ste 104,,Wahiawa,HI,96786,1841,HONOLULU,0.0,0.0,2001-09-10,2004-05-18
526412,WAIANAE BOAT HARBOR ICE HOUSE,Convenience Store,85-371,Farrington Hwy,,Waianae,HI,96792,2158,HONOLULU,0.0,0.0,1999-05-25,2004-08-29
514638,WAIOLA BAKERY & SHAVE ICE II,Bakery Specialty,525,KAPAHULU AVE,,HONOLULU,HI,96815,,HONOLULU,0.0,0.0,1999-12-01,2004-04-11
678315,WING LOY BBQ HOUSE,Meat/Poultry Specialty,930,KEKAULIKE ST,,HONOLULU,HI,96817,,HONOLULU,0.0,0.0,2003-10-08,2004-03-30
712988,Y T MARKET,Convenience Store,465,Kapahulu Ave Ste 107,,Honolulu,HI,96815,3852,HONOLULU,0.0,0.0,1998-02-26,2004-01-06
523040,Y W SEAFOOD MARKET,Seafood Specialty,1120,Maunakea St Ste 158,,Honolulu,HI,96817,5169,HONOLULU,0.0,0.0,1996-11-19,2004-05-02
438053,YOUNG'S MARKET,Meat/Poultry Specialty,301,Kalihi St,,Honolulu,HI,96819,3260,HONOLULU,0.0,0.0,1980-07-10,2004-03-17
