"Record.ID","Store.Name","Store.Type","Street.Number","Street.Name","Additional.Address","City","State","Zip.Code","Zip4","County","Latitude","Longitude","Authorization.Date","End.Date"
269269,"CAFE MAKANA  ","Unknown","15-2923","GOVERNMENT MAIN ROAD"," ","PAHOA","HI",96778," ","HAWAII",0,0,"04/13/1995","11/08/1998"
236188,"CAPT COOK STOP 'N SHOP  ","Convenience Store","81-6372","MAMALAHOA HWY"," ","CAPT COOK","HI",96704," ","HAWAII",0,0,"05/06/1993","01/31/2004"
236691,"CAPT COOK SURE SAVE  ","Supermarket"," ","KEALAKEKUA RANCH CTR"," ","CAPT COOK","HI",96704," ","HAWAII",0,0,"12/13/1971","08/09/1999"
1013596,"Captain Cook Chevron Food Mart  ","Convenience Store","81-6316","Mamalahoa St"," ","Captain Cook","HI",96704," ","HAWAII",19.49413,-155.9184,"07/05/2011"," "
259368,"CAPTAIN COOK MINI MART  ","Convenience Store","81-6372","MAMALAHOA HWY"," ","KEALAKEKUA","HI",96750," ","HAWAII",19.49963,-155.9196,"02/17/2004","04/11/2006"
1278678,"Captain Cook Mini Mart  ","Convenience Store","81-6372","Mamalahoa Hwy"," ","Kealakekua","HI",96750,"8185","HAWAII",19.49949,-155.9196,"04/26/2017"," "
786231,"Captain Cook Mini Mart Inc  ","Convenience Store","81-6372","Mamalahoa Hwy"," ","Kealakekua","HI",96750,"8132","HAWAII",19.49963,-155.9196,"05/31/2006","04/17/2017"
250215,"CARAVAN TOWN  ","Unknown","194","Kamehameha Ave"," ","Hilo","HI",96720,"2834","HAWAII",0,0,"01/21/1987","02/28/1993"
590540,"CARAVAN TOWN  ","Unknown","194","Kamehameha Ave"," ","Hilo","HI",96720,"2834","HAWAII",0,0,"04/23/1993","06/13/2004"
609170,"CARLOS FERNANDEZ  ","Small Grocery Store"," ","MAMO STREET (SWAP MEET"," ","HILO","HI",96721," ","HAWAII",0,0,"11/13/1991","02/18/1993"
1203674,"Chevron 1583","Convenience Store","321","E Makaala St"," ","Hilo","HI",96720,"5146","HAWAII",19.69931,-155.0637,"06/04/2015","10/31/2016"
968984,"Chita's Travel & Filipino Store  ","Convenience Store","68-1845","Waikoloa Rd","Ste 132","Waikoloa","HI",96738,"5587","HAWAII",19.9268,-155.7887,"09/20/2010"," "
433385,"Choice Mart  ","Super Store","82-6066","Mamalahoa Hwy"," ","Captain Cook","HI",96704,"8202","HAWAII",19.48634,-155.9056,"05/23/2000"," "
709330,"CHRIS' BAKERY  ","Bakery Specialty","81-6596","Mamalahoa Hwy"," ","Kealakekua","HI",96750,"8131","HAWAII",0,0,"03/12/1982","01/07/1997"
321762,"CHRIS' BAKERY  ","Bakery Specialty","81-6596","Mamalahoa Hwy"," ","Kealakekua","HI",96750,"8131","HAWAII",19.51409,-155.9205,"01/27/1997","08/28/2005"
1038452,"Convenience Plus LLC  ","Convenience Store","45-3244","Mamalahoa Hwy"," ","Honokaa","HI",96727,"0000","HAWAII",20.06873,-155.4581,"01/03/2012"," "
280717,"CORNUCOPIA BUYING CLUB  ","Food Buying Co-op","77-176","KEKAI PLACE"," ","KAILUA-KONA","HI",96740," ","HAWAII",0,0,"12/02/1991","05/27/1998"
696212,"Cost-U-Less 3","Combination Grocery/Other","715","Kinoole St"," ","Hilo","HI",96720,"3850","HAWAII",19.71749,-155.0841,"08/14/1992"," "
923600,"Costco Wholesale 0140","Super Store","73-5600","Maiau St"," ","Kailua Kona","HI",96740,"2630","HAWAII",19.68735,-156.0161,"10/30/2009"," "
1105949,"CVS 2406","Combination Grocery/Other","65-1261","Kawaihae Rd"," ","Kamuela","HI",96743,"8406","HAWAII",20.02214,-155.6736,"06/07/2013"," "
1110949,"CVS 5638","Combination Grocery/Other","96-3163","Pikake St"," ","Pahala","HI",96777,"9997","HAWAII",19.20201,-155.4772,"07/17/2013"," "
1221711,"CVS 2362","Combination Grocery/Other","670","Ponahawai St","Ste 213","Hilo","HI",96720,"7830","HAWAII",19.71376,-155.096,"10/28/2015"," "
1341669,"CVS Pharmacey 06870","Combination Grocery/Other","16-529","Keaau Pahoa Rd"," ","Keaau","HI",96749,"8156","HAWAII",19.62286,-155.0397,"09/27/2018"," "
1403974,"CVS Pharmacy 10849","Combination Grocery/Other","75-5995","Kuakini Highway,","Suite 5B","Kona","HI",96740," ","HAWAII",19.6266,-155.9824,"04/23/2020"," "
1131913,"D & E Fuel Good Stop  ","Convenience Store","84-4811","Mamalahoa Hwy"," ","Captain Cook","HI",96704,"8403","HAWAII",19.4188,-155.8815,"04/14/2014","07/04/2019"
591681,"D & G'S MARKET  ","Convenience Store"," ","MAMANE"," ","HONOKAA","HI",96727,"0390","HAWAII",0,0,"11/18/1988","12/20/1992"
943049,"Da Poke Shack 1","Combination Grocery/Other","76-6246","Alii Dr","Ste 101","Kailua Kona","HI",96740,"4614","HAWAII",19.60761,-155.9768,"04/22/2010","04/16/2015"
239560,"DA SISTAH'S STOA  ","Small Grocery Store","51","Puueo St"," ","Hilo","HI",96720,"2430","HAWAII",0,0,"04/10/2000","12/03/2000"
621508,"DA STORE  ","Convenience Store","776","Kilauea Ave"," ","Hilo","HI",96720,"4235","HAWAII",0,0,"01/01/1930","05/30/1991"
235023,"DA STORE HAWAIIAN BEACHES  ","Medium Grocery Store","15-783","Kahakai Blvd"," ","Pahoa","HI",96778," ","HAWAII",19.52827,-154.9209,"06/05/1975"," "
706923,"DA STORE PAHOA  ","Convenience Store"," ","GOVERNMENT RD"," ","PAHOA","HI",96778," ","HAWAII",0,0,"11/19/1980","06/01/2003"
713369,"DBA ALOHA SEAFOOD & GRILL  ","Seafood Specialty","7454831","KAIWI ST"," ","KAILUA-KONA","HI",96740," ","HAWAII",0,0,"02/20/1998","01/12/1999"
277746,"DIAMOND R  ","Convenience Store","95-5591","MAMALAHOA HWY"," ","NAALEHU","HI",96772," ","HAWAII",0,0,"04/02/1990","07/07/1994"
242640,"DON'S FAMILY DELI  ","Small Grocery Store"," ","PO Box 267"," ","Kapaau","HI",96755,"0267","HAWAII",0,0,"02/24/1992","10/15/1992"
725342,"DON'S FAMILY DELI  ","Convenience Store"," ","AKONI PULE HWY"," ","KAPAAU","HI",96755," ","HAWAII",0,0,"12/02/1992","02/18/1998"
680593,"DORIS PLACE  ","Convenience Store","77-6108","Mamalahoa Hwy"," ","Holualoa","HI",96725," ","HAWAII",19.60677,-155.9493,"10/23/1991","11/19/2018"
917475,"Down to Earth  ","Combination Grocery/Other","303","Makaala St"," ","Hilo","HI",96720,"5146","HAWAII",19.69934,-155.0645,"11/09/2009","11/06/2011"
911672,"Dragon's Eye Ventures 2","Delivery Route","14-407","Railroad Ave"," ","Pahoa","HI",96778,"5386","HAWAII",19.51209,-154.8506,"09/09/2009","08/04/2010"
911668,"Dragon's Eye Ventures 1","Fruits/Veg Specialty","14-407","Railroad Ave"," ","Pahoa","HI",96778,"7703","HAWAII",19.51209,-154.8506,"09/17/2009","01/26/2012"
1128038,"E And E Pacific Store  ","Small Grocery Store","75-159","Lunapule Rd","Ste 3","Kailua Kona","HI",96740,"2100","HAWAII",19.62699,-155.9841,"02/19/2014","09/26/2016"
464156,"EARL'S MINI MART  ","Small Grocery Store"," ","MAMANE ST"," ","HONOKAA","HI",96727," ","HAWAII",0,0,"07/27/1989","06/08/1997"
649166,"EARL'S PAAUILO STORE LLC  ","Convenience Store"," ","HWY 19"," ","PAAUILO","HI",96776," ","HAWAII",20.02751,-155.34,"12/16/1971","09/26/2019"
471326,"EDEN PEACE CO-OP  ","Food Buying Co-op"," ","HIGHWAY 130"," ","PAHOA","HI",96778," ","HAWAII",0,0,"08/22/1985","10/25/1994"
1029231,"Euro Deli LLC  ","Combination Grocery/Other","74-5467","Kaiwi St"," ","Kailua Kona","HI",96740," ","HAWAII",19.64869,-155.9993,"12/02/2011","11/19/2012"
388535,"EVIE'S NATURAL FOODS, INC.  ","Meat/Poultry Specialty","79-7460","Mamalahoa Hwy Ste 105"," ","Kealakekua","HI",96750,"7917","HAWAII",19.52891,-155.9245,"03/10/1998","11/01/2007"
504648,"FAMILIES FOOD CO-OP  ","Food Buying Co-op"," ","NULL"," ","KEAAU","HI",96749," ","HAWAII",0,0,"01/31/1989","04/06/1997"
325979,"FARMING  ","Fruits/Veg Specialty"," ","NULL"," ","OCEANVIEW","HI",96737,"6497","HAWAII",0,0,"03/20/1996","04/27/1997"
880641,"Fast Fuels  ","Convenience Store","16-499","Old Volcano Rd"," ","Keaau","HI",96749,"8138","HAWAII",19.62376,-155.0385,"05/26/2009","08/25/2011"
246999,"FAST STOP FOODS  ","Small Grocery Store","74-5742","KAIWI STREET"," ","KAILUA-KONA","HI",96740," ","HAWAII",0,0,"08/01/1991","05/13/1993"
226012,"FERN FOREST FOLIAGE  ","Fruits/Veg Specialty","338","Kamehameha Ave"," ","Hilo","HI",96720,"2949","HAWAII",0,0,"08/26/1991","03/28/1999"
1000448,"Fil-AM General Store  ","Convenience Store","79-7432","Mamalahoa Hwy","Ste C","Kealakekua","HI",96750,"7932","HAWAII",19.5303,-155.9252,"04/25/2011","07/25/2016"
862808,"Filipino Foodmart  ","Convenience Store","16-566","Pahoa Rd","Stall 1","Keaau","HI",96749," ","HAWAII",19.62442,-155.0347,"09/10/2008","04/30/2009"
684833,"FILIPINO VIDEO AND GENERAL STORE  ","Meat/Poultry Specialty","46","Mamo St"," ","Hilo","HI",96720,"2954","HAWAII",0,0,"06/29/1993","01/30/1998"
806851,"Five Sisters Place  ","Small Grocery Store","1976","Kaumana Dr"," ","Hilo","HI",96720,"1440","HAWAII",19.68548,-155.1417,"11/27/2006","12/17/2008"
588212,"FOOD FAIR SUPER MARKET-KINOOLE  ","Supermarket","1990","KINOOLE STREET"," ","HILO","HI",96720,"5297","HAWAII",0,0,"12/08/1971","12/01/1994"
590562,"FOOD FAIR SUPER MARKETS-KILAUEA  ","Supermarket","194","KILAUEA AVE","1","HILO","HI",96720,"5297","HAWAII",0,0,"12/08/1971","12/01/1994"
368745,"FOOD FAIR SUPER MARKETS-NAALEHU  ","Supermarket"," ","NAALEHU SHOPPING CTR"," ","NAALEHU","HI",96772,"5297","HAWAII",0,0,"10/28/1991","12/01/1994"
333044,"FOOD FANTASIES - NATURAL FOODS  ","Unknown"," ","MAMALAHOA HWY C5"," ","KAINALIU","HI",96750," ","HAWAII",0,0,"02/18/1997","02/09/1998"
592337,"FOOD TO YOU  ","Food Buying Co-op","LOT 19","HOMESTEAD RD"," ","KURTISTOWN","HI",96760,"6022","HAWAII",0,0,"09/09/1991","07/26/2000"
837681,"Foodland Farms Mauna Lani 39","Super Store","1330","Mauna Lani Dr"," ","Kamuela","HI",96743,"7753","HAWAII",19.94153,-155.8614,"11/07/2007"," "
926154,"Foodland Keaau 41","Super Store","16-586","Old Volcano Rd","Ste 102","Keaau","HI",96749,"8100","HAWAII",19.62153,-155.04,"11/18/2009"," "
572723,"Foodland Waimea 38","Super Store","67-1185","Mamalahoa Hwy"," ","Kamuela","HI",96743,"8427","HAWAII",20.0208,-155.6684,"04/18/2002"," "
519254,"FRANK'S CATERING  ","Delivery Route"," ","NULL"," ","HILO","HI",96720," ","HAWAII",0,0,"05/15/2002","03/19/2003"
312009,"FRANK'S FOODS INC  ","Meat/Poultry Specialty","1141","W Kawailani St"," ","Hilo","HI",96720,"3201","HAWAII",19.68236,-155.1006,"02/01/1982"," "
1407675,"FreshPoint Oahu (Kona) 570","Fruits/Veg Specialty","73-4230","Hulikoa Dr"," ","Kailua Kona","HI",96740,"2670","HAWAII",19.69956,-156.0138,"05/26/2020"," "
360638,"Fujihara Store  ","Convenience Store","85-4524","Mamalahoa Hwy"," ","Captain Cook","HI",96704,"8500","HAWAII",19.39728,-155.8791,"02/20/2002","06/23/2021"
360638,"Fujihara Store  ","Convenience Store","85-4524","Mamalahoa Hwy"," ","Captain Cook","HI",96704,"8500","HAWAII",19.39728,-155.8791,"07/13/2021","08/04/2021"
360638,"Fujihara Store  ","Convenience Store","85-4524","Mamalahoa Hwy"," ","Captain Cook","HI",96704,"8500","HAWAII",19.39728,-155.8791,"08/24/2021"," "
276414,"GARY'S SPORTS CARDS & MINI MART  ","Convenience Store"," ","SR 11048"," ","KEAAU","HI",96749," ","HAWAII",0,0,"03/31/1994","07/20/1996"
780488,"GEORGE'S MEAT MARKET  ","Meat/Poultry Specialty","28","Hoku St"," ","Hilo","HI",96720,"3817","HAWAII",19.71692,-155.0798,"03/21/2006"," "
